Rank,teamId,teamImageId,teamFullName,team,teamAbbrevName,teamShortName,newestTeamColor,leagueId,leagueName,MinIncET,DistanceRun,WalkDist,JogDist,RunDist,HiSpeedRunDist,SprintDist,WalkCount,JogCount,RunCount,HiSpeedRunCount,SprintCount,optaTeamId,week,game,home,away,win,draw,loss,date,gameId,opponentId,opponentTeamImageId,oppOptaTeamId,teamFullName.1,opponentFullName,opponent,score,finalScoreOpponent,gameStatus,result,scatterId,scatterExtra
1,b97a5km6rb42fv858volubsi6,2340,Rouen,Rouen,ROU,Rouen,nan,1qd0wvt30rlswa4g6nu4na660,National1(France),1048,111190,34242,54207,15530,5698.9,1783.1,3470,4784,1128,366,88,2340,1,ROUvsFLE,true,false,false,true,false,2025-08-08,9lgxeut6ya6yogc3ko30bt15g,1z48unyzdkaoulghr9kkgt1g0,12199,12199,Rouen,Fleury,FLE,0,0,Played,T0-0,2585254,ROUvsFLE(2025-08-08)
1,ab80vest6tgco121qtfyphq7c,1028,Caen,Caen,CAE,Caen,#000099,1qd0wvt30rlswa4g6nu4na660,National1(France),1049,111925,32468,55111,15993,5977.7,1757.2,3226,4625,1156,379,95,1028,1,CAEvsAUB,true,false,true,false,false,2025-08-08,9n55926todt99jo6fw6ckxwd0,7gytr31zcn0gcewa7pu1ed5hz,9600,9600,Caen,Aubagne,AUB,3,0,Played,W3-0,2585258,CAEvsAUB(2025-08-08)
1,8ng94h4147jxd5oxgoaa95yl4,2541,Quevilly-RouenMétropole,Quevilly-RouenMétropole,QRM,QRM,#FFFF00,1qd0wvt30rlswa4g6nu4na660,National1(France),1097,110116,35410,51808,15080,5702.0,1625.4,3471,4630,1126,362,89,2541,1,P13vsQRM,false,true,false,false,true,2025-08-08,9mq6uzg207budbj97hs6mfl04,f0ticxo5bjjif0gb54ewfdppm,21581,21581,Quevilly-RouenMétropole,Paris13Atletico,P13,0,1,Played,L0-1,2585257,P13vsQRM(2025-08-08)
1,1z48unyzdkaoulghr9kkgt1g0,12199,Fleury,Fleury,FLE,Fleury,nan,1qd0wvt30rlswa4g6nu4na660,National1(France),1052,111682,34021,56832,14969,5085.3,1155.2,3535,4846,1122,339,68,12199,1,ROUvsFLE,false,true,false,true,false,2025-08-08,9lgxeut6ya6yogc3ko30bt15g,b97a5km6rb42fv858volubsi6,2340,2340,Fleury,Rouen,ROU,0,0,Played,T0-0,2585254,ROUvsFLE(2025-08-08)
1,dse1eu8y1o3t00rlbxpgo084c,5427,Versailles,Versailles,VRS,Versailles,nan,1qd0wvt30rlswa4g6nu4na660,National1(France),1055,109246,34425,53487,13988,5268.4,1444.8,3362,4476,1015,339,79,5427,1,SBRvsVRS,false,true,true,false,false,2025-08-08,9nll2gzzo1za22ry9tffi6jh0,rv0okxl2zv1ow3me605xl8b5,3271,3271,Versailles,StadeBriochin,SBR,1,0,Played,W1-0,2585259,SBRvsVRS(2025-08-08)
15,67igj3fctu1kt6ntkrwpdt72i,921,Châteauroux,Châteauroux,CHA,Châteauroux,#0000FF,1qd0wvt30rlswa4g6nu4na660,National1(France),1089,112719,34588,54708,14650,5826.1,1881.1,3483,4656,1056,368,101,921,2,CHAvsBBP,true,false,false,true,false,2025-08-15,9pcxn64arae6ilzn65cvcvf2s,bizl0ptma24fjoafuqclu8k5b,3312,3312,Châteauroux,Bourg-Péronnas,BBP,2,2,Played,T2-2,2585264,CHAvsBBP(2025-08-15)
15,f0ticxo5bjjif0gb54ewfdppm,21581,Paris13Atletico,Paris13Atletico,P13,Paris13,nan,1qd0wvt30rlswa4g6nu4na660,National1(France),1120,113572,35327,52432,15993,7091.6,3265.6,3395,4621,1157,417,167,21581,2,VRSvsP13,false,true,false,false,true,2025-08-15,9r1h3gsbf1u3gozvtyr592f4k,dse1eu8y1o3t00rlbxpgo084c,5427,5427,Paris13Atletico,Versailles,VRS,1,2,Played,L1-2,2585269,VRSvsP13(2025-08-15)
15,7gytr31zcn0gcewa7pu1ed5hz,9600,Aubagne,Aubagne,AUB,Aubagne,nan,1qd0wvt30rlswa4g6nu4na660,National1(France),1070,105297,34648,50179,13241,5731.0,2396.2,3312,4425,967,361,118,9600,2,AUBvsVIL,true,false,true,false,false,2025-08-15,9ocrnlbc92igj7dq37siqr8k4,36bxy6avfw3xp8ocj9frad4b7,3315,3315,Aubagne,Villefranche,VIL,3,1,Played,W3-1,2585261,AUBvsVIL(2025-08-15)
15,79dc2mv3x269nhix3mkhc5wfu,2130,Dijon,Dijon,DIJ,Dijon,#FFA500,1qd0wvt30rlswa4g6nu4na660,National1(France),1101,112323,35545,54228,15694,5158.0,1567.0,3374,4645,1134,332,75,2130,2,DIJvsROU,true,false,false,true,false,2025-08-15,9p0x9drzv06l9ih49vc3o4kr8,b97a5km6rb42fv858volubsi6,2340,2340,Dijon,Rouen,ROU,1,1,Played,T1-1,2585263,DIJvsROU(2025-08-15)
15,d79cmam5svw9j2mplbu9kut7p,6785,Orléans,Orléans,ORL,Orléans,#FFFF00,1qd0wvt30rlswa4g6nu4na660,National1(France),1086,110298,32565,50118,14939,6164.6,2039.6,2971,4079,1069,387,106,6785,2,SOCvsORL,false,true,false,false,true,2025-08-15,9q105dwj8q5uc8wm2apel25n8,d9kwaceoj54pfprd6oc2hwae6,693,693,Orléans,Sochaux,SOC,0,5,Played,L0-5,2585266,SOCvsORL(2025-08-15)
15,d9kwaceoj54pfprd6oc2hwae6,693,Sochaux,Sochaux,SOC,Sochaux,#FFFF00,1qd0wvt30rlswa4g6nu4na660,National1(France),1086,110136,33205,49494,15424,5600.6,2250.5,3171,4262,1121,348,103,693,2,SOCvsORL,true,false,true,false,false,2025-08-15,9q105dwj8q5uc8wm2apel25n8,d79cmam5svw9j2mplbu9kut7p,6785,6785,Sochaux,Orléans,ORL,5,0,Played,W5-0,2585266,SOCvsORL(2025-08-15)
15,9ri5xhi5qaozcqb7svbvcc4eu,14035,LePuyFoot,LePuyFoot,PUY,LePuy,nan,1qd0wvt30rlswa4g6nu4na660,National1(France),1071,123066,32770,61775,20144,7862.8,2211.8,3591,5150,1423,490,119,14035,2,VFCvsPUY,false,true,false,false,true,2025-08-15,9qp91bvum338a7urggmn86iac,g8cvbv4wrvq7uf4347yjkd35,1996,1996,LePuyFoot,Valenciennes,VFC,1,2,Played,L1-2,2585268,VFCvsPUY(2025-08-15)
